general
maudlin
profane
whitish
brutish
jejunal
uncouth
mitotic
toothed
coaxial
oedipal
vacuous
greyish
knobbly
heathen
halcyon
powdery
aimless
insipid
figural
pelagic
pliable
sigmoid
restive
outsize
throaty
trophic
doleful
pretend
animate
somatic
cranial
jittery
datable
undying
cognate
jocular
pensive
stringy
odorous
profuse
fevered
pinkish
streaky
villous
bigoted
operant
plug-in
untamed
tuneful
verdant
fulsome
fretful
wizened
bestial
airless
mimetic
ferrous
ductile
gleeful
ovarian
crinkly
honeyed
piquant
earthen
pleural
laminar
offhand
pacific
acerbic
miserly
buttery
womanly
spastic
fractal
joyless
legless
bristly
grizzly
ignoble
starchy
slavish
mayoral
meiotic
all-day
uterine
elegiac
solvent
ageless
parodic
arcaded
apsidal
scrubby
anodyne
uneaten
flaccid
tip-top
amyloid
unmixed
germane
sodding
ectopic
bubonic
bookish
raunchy
seasick
equable
odds-on
enteral
nodular
natured
witless
breathy
spidery
biggish
clausal
politic
diploid
oolitic
crumbly
ungodly
nuptial
unlined
stroppy
soulful
rundown
sessile
serried
voluble
lustful
roguish
gentile
willowy
shivery
largish
bashful
comital
oxyntic
erosive
peevish
curable
parlous
aseptic
bilious
godless
titular
diehard
boorish
totemic
bolshie
goddamn
finicky
fidgety
manmade
gnostic
atheist
sunless
gung-ho
coronal
risible
protean
inexact
moronic
prudish
unasked
coppery
magenta
wolfish
chordal
hominid
stop-go
summery
doughty
typeset
in-situ
sexless
artless
verbose
potable
sparkly
winsome
offbeat
fluvial
febrile
triable
blotchy
babyish
flighty
twitchy
gingery
ordinal
bipedal
gossipy
wakeful
eidetic
ensuite
rhombic
friable
helluva
carotid
candied
corneal
peckish
raffish
counter
chintzy
needful
nonstop
tenfold
canonic
gainful
eugenic
vegetal
low-cut
untaxed
auratic
montane
vagrant
piteous
uraemic
bearish
adrenal
haywire
haploid
slap-up
aeolian
benthic
hulking
scraggy
humoral
unpaved
leonine
charnel
pyrrhic
flyaway
anionic
back-up
peppery
bulimic
impious
clastic
showery
gutless
godlike
arrowed
madding
fanatic
stubbly
beamish
monster
upfront
sleeved
satiric
quantal
coxless
stromal
eyeless
bucolic
yellowy
wrinkly
squashy
uniplex
starlit
delphic
inhouse
unwaged
piebald
mawkish
puerile
mutable
stygian
moneyed
tangent
koranic
loutish
off-key
jugular
annular
scribal
sternal
avionic
allelic
mordant
waspish
unbowed
shrubby
useable
upstate
sciatic
indrawn
wimpish
tunable
triadic
bimodal
fissile
louvred
demotic
in-line
unmanly
caloric
noisome
domical
liminal
amatory
gordian
hydroxy
tryptic
jawless
glottal
negroid
sapient
deltaic
rimless
leprous
foppish
off-air
truncal
aphasic
etheric
carmine
asocial
femoral
inboard
puckish
unfunny
unspent
unquiet
ternary
leftist
stearic
darkish
hatless
elysian
lamplit
mannish
diluent
myeloid
hawkish
fictive
ex-post
drizzly
jellied
leftish
unfussy
fortean
economy
monkish
barbary
at-risk
listric
paunchy
dimeric
lawlike
tetanic
squidgy
pronged
priapic
lumpish
spacial
precast
tallish
acyclic
ascitic
colitic
whorled
enzymic
eatable
sainted
rockin'
engined
lingual
flatbed
basinal
unready
brimful
uncared
butyric
cubical
warm-up
catlike
uncited
bifocal
arcuate
paschal
sixfold
humeral
up-beat
no-good
mammary
intimal
aplenty
sinless
baneful
sapphic
donnish
wheaten
fairish
armless
aproned
pimpled
splashy
bifilar
lipidic
unfazed
firelit
nuanced
smoochy
frowsty
epochal
spot-on
asinine
squiffy
monadic
actinic
treacly
monodic
workshy
colicky
squishy
lipless
roseate
unmated
win-win
raddled
sarcoid
miliary
ferroan
strappy
abiotic
rag-tag
laddish
tricksy
lidless
tin-pot
ingrown
nematic
akashic
embolic
topiary
bathyal
emersed
bitwise
sylvian
rackety
doddery
goodish
obverse
myalgic
uncivil
druidic
prussic
atactic
on-road
hedonic
two-bit
cepheid
amnesic
slip-on
cryonic
cultish
two-ply
exigent
sub-par
apnoeic
indepth
dextral
hypoxic
tantric
unalike
raggedy
knavish
easeful
plosive
palatal
dampish
astable
ack-ack
trionic
lobular
dipolar
antient
quartal
poorish
full-on
upriver
onetime
unroped
chicken
pagetic
tertian
pyritic
summary
zestful
coin-op
tactual
carious
twinkly
comedic
fockin'
ingoing
vampish
flyable
squeezy
ratable
high-up
carless
manlike
okadaic
subfusc
coltish
